description,price,rating,review_count,url
"HP 14 11th Gen Intel Core i5 Processor 15.6-inch(39.6 cm) FHD Laptop (8GB/512GB SSD/Windows 10/MS Office/Natural Silver/1.46Kg), 14s-dq2535TU",,,,https://www.amazon.in/HP-Processor-15-6-inch-Windows-14s-dq2535TU/dp/B0928NL6F3/ref=sr_1_14?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-14
"HP Chromebook 14a-na0002TU Laptop (Celeron N4020/4GB/64GB SSD/Chrome OS/Integrated Graphics), Ceremic White, 35.6 cm (14 inch)",,,,https://www.amazon.in/HP-Chromebook-14a-na0002TU-Integrated-Graphics/dp/B08C5WLK3P/ref=sr_1_15?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-15
"HP 15 Thin & Light Ryzen 3-3250 Laptop, 4 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0006au)",,,,https://www.amazon.in/HP-db1060au-Laptop-Ryzen3-Microsoft-Natural/dp/B083SNGBLF/ref=sr_1_16?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-16
"HP 14 Laptop 14"" (35.56cms) (Ryzen 5 3500U/8GB/1TB HDD + 256GB SSD/Win 10/Microsoft Office 2019/Radeon Vega 8 Graphics), DK0093AU",,,,https://www.amazon.in/HP-14-DK0093AU-14-inch-Graphics/dp/B07THW9WFM/ref=sr_1_17?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-17
"HP 15 db1069AU 15.6"" (39.62cms) ) Laptop (3rd Gen Ryzen 3 3200U/4GB/1TB HDD/Windows 10/MS Office/Radeon Vega 3 Graphics), Jet Black",,,,https://www.amazon.in/HP-db1069AU-15-6-inch-Windows-Graphics/dp/B083RD58F6/ref=sr_1_18?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-18
"HP Chromebook x360 Intel Celeron N4020 Processor 12-inch (30.48 cms) Touchscreen Laptop (Celeron N4020/4GB/64GB SSD/Chrome OS/Integrated Graphics/Natural Silver), 12b-ca0010TU",,,,https://www.amazon.in/HP-Chromebook-12b-ca0010TU-Touchscreen-Integrated/dp/B08C5WSTR6/ref=sr_1_19?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-19
"HP 14 4th Gen Ryzen 5 5500U 14-inch(35.6 cm) FHD Laptop with Alexa Built-in(8GB/512GB SSD/Windows 10/MS Office/Natural Silver/1.46Kg), 14s-fq1030AU",,,,https://www.amazon.in/HP-14-inch-Windows-Natural-14s-fq1030AU/dp/B0928TPR8H/ref=sr_1_20?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-20
"HP 14 Ultra Thin & Light 14"" (35.56cms) Laptop (10th Gen i3-1005G1/8GB/256GB SSD/Win 10 Home/MS Office/1.47 Kg/Jet Black), 14s-cf3074TU",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0602739TGSM32UMC9J0&url=%2FHP-14-inch-Laptop-i3-1005G1-14s-cf3074TU%2Fdp%2FB08G24RGKS%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033772%26sr%3D8-21-spons%26psc%3D1&qualifier=1620033772&id=651595403567992&widgetName=sp_btf
(Renewed) Fujitsu A573 Lifebook with Numeric Keypad Laptop (Intel Core i5 3340m /4 GB/320 GB HDD/Windows 10 / NO Webcam / HDMI / 4 USB/15.6 Inch Screen),,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04877622ZVCP3YEG3QAV&url=%2FRenewed-Fujitsu-Lifebook-Numeric-Windows%2Fdp%2FB091B6K2ZM%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033772%26sr%3D8-22-spons%26psc%3D1&qualifier=1620033772&id=651595403567992&widgetName=sp_btf
"HP 15s Thin and Light Laptop (Intel Celeron N4020/4GB/1TB HDD/Windows 10 Home), du1044tu",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01039941K8YBK21FW9FZ&url=%2FHP-Laptop-Celeron-Windows-du1044tu%2Fdp%2FB08D6M1Y6D%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033778%26sr%3D8-17-spons%26psc%3D1&qualifier=1620033778&id=2529710485837874&widgetName=sp_atf_next
"MSI Bravo 15 Ryzen 7 4800H 15.6"" (39.62cms) FHD Gaming Laptop (16GB/512GB SSD/144 Hz/Windows 10/ RX5500M,GDDR6 4GB/Black/1.86 kg), A4DDR-212IN",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05782712NHDFYHUFUI3Q&url=%2FMSI-Gaming-Windows-RX5500M-A4DDR-212IN%2Fdp%2FB08GYH6HKN%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033778%26sr%3D8-18-spons%26psc%3D1&qualifier=1620033778&id=2529710485837874&widgetName=sp_atf_next
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD + 256GB SSD, 15"" (38.1 cms) FHD Screen, Windows 10, MS Office (15s-gr0012AU)",,,,https://www.amazon.in/HP-3-3250-Laptop-Windows-15s-gr0012AU/dp/B08T6THSMQ/ref=sr_1_19?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-19
"HP 245 G7 Laptop 2D8C6PA (AMD Ryzen 3-3300U/4GB Ram/ 1TB HDD/ 14"" (35.56cms) HD /Windows-10/AMD Radeon Vega 6 Graphics/ Dark Ash Silver/1.52Kg)",,,,https://www.amazon.in/HP-2D8C6PA-3-3300U-Windows-10-Graphics/dp/B08KJ92N9V/ref=sr_1_20?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-20
"HP 15 Thin & Light 15.6"" (39.62cms) FHD Laptop (11th Gen Intel Core i5-1135G7, 8GB DDR4, 256GB SSD + 1TB HDD, Win 10 Home, MS Office, 2GB MX350 Graphics, FPR, Natural Silver, 1.76 Kg), 15s-du3047TX",,,,https://www.amazon.in/HP-39-62cms-i5-1135G7-Graphics-15s-du3047TX/dp/B08PPZG85B/ref=sr_1_21?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-21
"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)",,,,https://www.amazon.in/HP-Laptop-15-6-inch-Windows-15s-fq2535TU/dp/B08XNYN5QV/ref=sr_1_22?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-22
"HP 14 10th Gen Intel Core i3 14"" (35.56cms) FHD Laptop (8 GB, 1 TB HDD + 256 GB SSD, Windows 10 Home, MS Office, Natural Silver, 1.51 kg), 14s-cf3028TU",,,,https://www.amazon.in/HP-35-56cms-Windows-Natural-14s-cf3028TU/dp/B08QSVVC7W/ref=sr_1_23?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-23
"HP Pavilion x360 Touchscreen 2-in-1 FHD 14-inch (35.56 cms) Laptop (10th Gen Core i3-10110U/8GB/512GB SSD/Win 10/MS Office/Mineral Silver/1.58 kg), 14-dh1178tu",,,,https://www.amazon.in/HP-Pavilion-Touchscreen-i3-10110U-14-dh1178tu/dp/B08GD95H1N/ref=sr_1_24?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-24
"HP 15 10th Gen Intel Core i3 Processor 15.6-inch(39.6 cm) FHD Laptop (8GB/256GB SSD+1TB HDD/Windows 10/MS Office/Jet Black/1.74Kg), 15s-du1064TU",,,,https://www.amazon.in/HP-15-6-inch-Laptop-i3-10110U-15s-du1064TU/dp/B08HJZLW96/ref=sr_1_25?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-25
"HP 15 11th Gen Intel Core i3 Processor 15.6-inch FHD Laptop with Alexa Built-in(8GB/512GB SSD/Win 10/MS Office/Jet Black/1.69 Kg), 15s-fq2072TU",,,,https://www.amazon.in/HP-Processor-15-6-inch-Laptop-15s-fq2072TU/dp/B08WHML7F1/ref=sr_1_26?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-26
