description,price,rating,review_count,url
Womens Fashion Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01065813T158E64SIUBI&url=%2FMochi-LightGreen-Synthetic-Sandals-33-742-60-38%2Fdp%2FB084ZJ2ZWN%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019754%26sr%3D8-22-spons%26psc%3D1&qualifier=1620019754&id=5426133749831930&widgetName=sp_mtf
womens Outdoor Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01077532S7Y380TLH9EE&url=%2FMochi-Womens-Outdoor-Sandals-7-33-351%2Fdp%2FB084THNLH6%2Fref%3Dsr_1_23_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019754%26sr%3D8-23-spons%26psc%3D1&qualifier=1620019754&id=5426133749831930&widgetName=sp_mtf
womens Fashion Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07412112PN3LLF7R0RAX&url=%2FMochi-Womens-Fashion-Sandals-7-33-573%2Fdp%2FB07MZ94KXM%2Fref%3Dsr_1_24_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019754%26sr%3D8-24-spons%26psc%3D1&qualifier=1620019754&id=5426133749831930&widgetName=sp_mtf
Womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-35-3988/dp/B08FXPS5MJ/ref=sr_1_25?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-25
womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Women-Antic-Gold-Synthetic/dp/B072NDMDB8/ref=sr_1_26?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-26
Womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-7-35-3337/dp/B084TK312L/ref=sr_1_27?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-27
mens Thong Sandals,,,,https://www.amazon.in/Mochi-Black-Leather-Sandals-10-16-9096/dp/B084T4PMY4/ref=sr_1_28?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-28
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-6-35-8872/dp/B084TJDWDZ/ref=sr_1_29?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-29
Women Leather Sandals (33-1134),,,,https://www.amazon.in/Mochi-Women-Leather-Sandals-33-1134-49-37/dp/B08XJWYJLY/ref=sr_1_30?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-30
Women's Beige Fashion Sandal,,,,https://www.amazon.in/Mochi-33-8429-Women-Beige-Velvet/dp/B06XX79P3X/ref=sr_1_31?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-31
